√À— ‡¢µ,™◊ËÕ‡¢µ,Õ.1 ™“¬,Õ.1 À≠‘ß,√«¡Õ.1,Õ.1 ÀÈÕß,Õ.2 ™“¬,Õ.2 À≠‘ß,√«¡Õ.2,Õ.2 ÀÈÕß,Õ.3 ™“¬,Õ.3 À≠‘ß,√«¡Õ.3,Õ.3 ÀÈÕß,√«¡°ËÕπª√–∂¡ ™“¬,√«¡°ËÕπª√–∂¡ À≠‘ß,√«¡°ËÕπª√–∂¡,√«¡ÀÈÕß°ËÕπª√–∂¡,ª.1 ™“¬,ª.1 À≠‘ß,√«¡ª.1,ª.1 ÀÈÕß,ª.2 ™“¬,ª.2 À≠‘ß,√«¡ª.2,ª.2 ÀÈÕß,ª.3 ™“¬,ª.3 À≠‘ß,√«¡ª.3,ª.3 ÀÈÕß,ª.4 ™“¬,ª.4 À≠‘ß,√«¡ª.4,ª.4 ÀÈÕß,ª.5 ™“¬,ª.5 À≠‘ß,√«¡ª.5,ª.5 ÀÈÕß,ª.6 ™“¬,ª.6 À≠‘ß,√«¡ª.6,ª.6 ÀÈÕß,√«¡ª√–∂¡ ™“¬,√«¡ª√–∂¡ À≠‘ß,√«¡ª√–∂¡,√«¡ÀÈÕßª√–∂¡,¡.1 ™“¬,¡.1 À≠‘ß,√«¡¡.1,¡.1 ÀÈÕß,¡.2 ™“¬,¡.2 À≠‘ß,√«¡¡.2,¡.2 ÀÈÕß,¡.3 ™“¬,¡.3 À≠‘ß,√«¡¡.3,¡.3 ÀÈÕß,√«¡¡.µÈπ ™“¬,√«¡¡.µÈπ À≠‘ß,√«¡¡.µÈπ,√«¡ÀÈÕß¡.µÈπ,¡.4 ™“¬,¡.4 À≠‘ß,√«¡¡.4,¡.4 ÀÈÕß,¡.5 ™“¬,¡.5 À≠‘ß,√«¡¡.5,¡.5 ÀÈÕß,¡.6 ™“¬,¡.6 À≠‘ß,√«¡¡.6,¡.6 ÀÈÕß,ª«™.1 ™“¬,ª«™.1 À≠‘ß,√«¡ª«™.1,ª«™.1 ÀÈÕß,ª«™.2 ™“¬,ª«™.2 À≠‘ß,√«¡ª«™.2,ª«™.2 ÀÈÕß,ª«™.3 ™“¬,ª«™.3 À≠‘ß,√«¡ª«™.3,ª«™.3 ÀÈÕß,√«¡¡.ª≈“¬·≈–‡∑’¬∫‡∑Ë“ ™“¬,√«¡¡.ª≈“¬·≈–‡∑’¬∫‡∑Ë“ À≠‘ß,√«¡¡.ª≈“¬·≈–‡∑’¬∫‡∑Ë“,√«¡ÀÈÕß¡.ª≈“¬·≈–‡∑’¬∫‡∑Ë“,√«¡∑—ÈßÀ¡¥ ™“¬,√«¡∑—ÈßÀ¡¥ À≠‘ß,√«¡∑—ÈßÀ¡¥,√«¡ÀÈÕß∑—ÈßÀ¡¥
00270001, æ¡. √–·°È«,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1245,1431,2676,80,1360,1498,2858,85,1258,1475,2733,81,3863,4404,8267,246,1213,1663,2876,86,1116,1635,2751,88,966,1514,2480,84,30,24,54,3,13,20,33,3,25,41,66,3,3363,4897,8260,267,7226,9301,16527,513
00300001, æ¡.π§√√“™ ’¡“,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5349,5938,11287,329,5495,6034,11529,327,5559,5962,11521,328,16403,17934,34337,984,5004,6349,11353,337,4513,6050,10563,337,4284,6078,10362,336,69,4,73,3,47,9,56,3,72,2,74,4,13989,18492,32481,1020,30392,36426,66818,2004
00310001, æ¡.∫ÿ√’√—¡¬Ï,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4967,5212,10179,309,4996,5535,10531,312,4647,5458,10105,311,14610,16205,30815,932,4389,5897,10286,306,3941,5660,9601,306,3768,5488,9256,311,40,31,71,2,30,38,68,2,29,35,64,2,12197,17149,29346,929,26807,33354,60161,1861
00320001, æ¡. ÿ√‘π∑√Ï,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4698,4861,9559,317,4953,5430,10383,323,4789,5249,10038,325,14440,15540,29980,965,3571,5064,8635,290,3219,4713,7932,283,2937,4423,7360,283,85,22,107,5,76,29,105,5,60,39,99,6,9948,14290,24238,872,24388,29830,54218,1837
00330001, æ¡.»√’ –‡°… ¬‚ ∏√,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4995,5378,10373,352,5246,5756,11002,362,5460,5815,11275,358,15701,16949,32650,1072,3955,5719,9674,332,3671,5478,9149,326,3896,5635,9531,328,41,14,55,3,32,8,40,3,32,8,40,3,11627,16862,28489,995,27328,33811,61139,2067
00340001, æ¡.Õÿ∫≈√“™∏“π’ Õ”π“®‡®√‘≠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5754,6687,12441,382,6138,7030,13168,385,6012,7067,13079,393,17904,20784,38688,1160,4484,6738,11222,349,4181,6253,10434,341,4053,6441,10494,352,0,0,0,0,0,0,0,0,0,0,0,0,12718,19432,32150,1042,30622,40216,70838,2202
00360001, æ¡.™—¬¿Ÿ¡‘,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2608,2863,5471,167,2690,3107,5797,173,2598,3046,5644,175,7896,9016,16912,515,2195,2986,5181,157,2068,2931,4999,157,2007,2812,4819,154,0,0,0,0,0,0,0,0,0,0,0,0,6270,8729,14999,468,14166,17745,31911,983
00380001, æ¡.∫÷ß°“Ã,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1790,1910,3700,116,1957,2212,4169,122,1867,2107,3974,116,5614,6229,11843,354,1283,1724,3007,90,1177,1582,2759,91,1059,1716,2775,92,0,0,0,0,0,0,0,0,0,0,0,0,3519,5022,8541,273,9133,11251,20384,627
00400001, æ¡.¢Õπ·°Ëπ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5160,5159,10319,320,5326,5497,10823,325,5368,5613,10981,324,15854,16269,32123,969,4130,5407,9537,302,3923,5311,9234,292,3725,5125,8850,289,0,0,0,0,0,0,0,0,0,0,0,0,11778,15843,27621,883,27632,32112,59744,1852
00410001, æ¡.Õÿ¥√∏“π’,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3731,4533,8264,253,3975,4848,8823,258,4113,4737,8850,258,11819,14118,25937,769,2787,4424,7211,233,2681,4112,6793,227,2683,4212,6895,224,0,0,0,0,0,0,0,0,0,0,0,0,8151,12748,20899,684,19970,26866,46836,1453
00420001, æ¡.‡≈¬ ÀπÕß∫—«≈”¿Ÿ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3481,3772,7253,233,3617,4226,7843,233,3467,3951,7418,237,10565,11949,22514,703,2749,3805,6554,220,2710,3615,6325,220,2535,3598,6133,213,0,0,0,0,0,0,0,0,0,0,0,0,7994,11018,19012,653,18559,22967,41526,1356
00430001, æ¡.ÀπÕß§“¬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1893,1917,3810,126,2005,1985,3990,130,1977,2126,4103,136,5875,6028,11903,392,1407,1788,3195,110,1275,1599,2874,102,1199,1629,2828,105,0,0,0,0,0,0,0,0,0,0,0,0,3881,5016,8897,317,9756,11044,20800,709
00440001, æ¡.¡À“ “√§“¡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2507,2833,5340,162,2703,3049,5752,169,2748,2998,5746,168,7958,8880,16838,499,2187,2843,5030,151,1954,2808,4762,150,1959,2747,4706,151,7,7,14,1,5,17,22,1,9,16,25,1,6121,8438,14559,455,14079,17318,31397,954
00450001, æ¡.√ÈÕ¬‡ÕÁ¥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3444,3720,7164,233,3675,4115,7790,239,3627,3941,7568,233,10746,11776,22522,705,2846,3862,6708,221,2744,3881,6625,227,2624,3726,6350,221,0,0,0,0,0,0,0,0,0,0,0,0,8214,11469,19683,669,18960,23245,42205,1374
00460001, æ¡.°“Ã ‘π∏ÿÏ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2882,3006,5888,187,3142,3353,6495,198,3080,3270,6350,197,9104,9629,18733,582,2411,3050,5461,176,2254,3114,5368,176,2249,2986,5235,180,0,0,0,0,0,0,0,0,0,0,0,0,6914,9150,16064,532,16018,18779,34797,1114
00470001, æ¡. °≈π§√,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3647,3968,7615,237,3948,4397,8345,247,3790,4378,8168,241,11385,12743,24128,725,2877,4187,7064,226,2730,4127,6857,224,2655,4114,6769,221,0,0,0,0,0,0,0,0,0,0,0,0,8262,12428,20690,671,19647,25171,44818,1396
00480001, æ¡.π§√æπ¡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2844,2906,5750,194,2940,3115,6055,198,2726,3059,5785,192,8510,9080,17590,584,1941,2681,4622,159,1767,2420,4187,157,1717,2456,4173,159,4,9,13,1,1,12,13,1,3,14,17,1,5433,7592,13025,478,13943,16672,30615,1062
00490001, æ¡.¡ÿ°¥“À“√,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1332,1367,2699,92,1474,1462,2936,95,1358,1483,2841,94,4164,4312,8476,281,983,1353,2336,86,921,1315,2236,82,899,1274,2173,84,0,0,0,0,0,0,0,0,0,0,0,0,2803,3942,6745,252,6967,8254,15221,533
00500001, æ¡.‡™’¬ß„À¡Ë,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3900,4401,8301,230,3889,4257,8146,230,3528,3895,7423,220,11317,12553,23870,680,3410,4661,8071,241,3082,4209,7291,233,2840,3989,6829,234,27,0,27,1,27,0,27,1,32,0,32,1,9418,12859,22277,711,20735,25412,46147,1391
